stop_id,stop_name,location_type,madina_bb_station_id,Number,NAME
2263,Massachusetts Ave @ Linwood St,0,1,L32002,Linwood St at Minuteman Bikeway
2279,Massachusetts Ave @ Foster St,0,1,L32002,Linwood St at Minuteman Bikeway
2259,Massachusetts Ave @ Peg Spengler Way,0,0,L32001,Railroad Lot and Minuteman Bikeway
2283,Massachusetts Ave @ Mystic St,0,0,L32001,Railroad Lot and Minuteman Bikeway
2277,Massachusetts Ave opp Lake St,0,2,L32003,Mass Ave at Grafton St
2278,Massachusetts Ave @ Harlow St,0,2,L32003,Mass Ave at Grafton St
2264,260 Massachusetts Ave,0,2,L32003,Mass Ave at Grafton St
12639,Broadway opp Cleveland St,0,3,L32004,Broadway at Grafton St
12640,Broadway @ N Union St,0,3,L32004,Broadway at Grafton St
12641,Broadway opp Harlow St,0,3,L32004,Broadway at Grafton St
12650,Broadway @ Harlow St,0,3,L32004,Broadway at Grafton St
12651,Broadway @ Oxford St,0,3,L32004,Broadway at Grafton St
2282,Massachusetts Ave @ Medford St,0,4,L32006,Mass Ave at Broadway
2260,Massachusetts Ave @ Broadway,0,4,L32006,Mass Ave at Broadway
2261,Massachusetts Ave @ Avon Pl,0,4,L32006,Mass Ave at Broadway
12644,Broadway @ Franklin St,0,4,L32006,Mass Ave at Broadway
12645,Broadway @ Massachusetts Ave,0,4,L32006,Mass Ave at Broadway
2281,Massachusetts Ave @ Franklin St,0,4,L32006,Mass Ave at Broadway
1195,Cambridge St @ Emery Rd,0,6,A32001,Union Square - Brighton Ave at Cambridge St
1196,N Beacon St @ Cambridge St,0,6,A32001,Union Square - Brighton Ave at Cambridge St
1110,N Beacon St @ Cambridge St,0,6,A32001,Union Square - Brighton Ave at Cambridge St
1111,Cambridge St opp Hano St,0,6,A32001,Union Square - Brighton Ave at Cambridge St
925,Cambridge St @ Barrows St,0,6,A32001,Union Square - Brighton Ave at Cambridge St
926,Brighton Ave @ Cambridge St,0,6,A32001,Union Square - Brighton Ave at Cambridge St
966,Cambridge St @ N Beacon St,0,6,A32001,Union Square - Brighton Ave at Cambridge St
933,Commonwealth Ave @ Babcock St,0,7,A32002,Commonwealth Ave at Agganis Way
934,Commonwealth Ave @ Pleasant St,0,7,A32002,Commonwealth Ave at Agganis Way
170136,Babcock Street,0,7,A32002,Commonwealth Ave at Agganis Way
170137,Babcock Street,0,7,A32002,Commonwealth Ave at Agganis Way
door-babck-ebagganis,"Babcock Street - Harry Agganis Way, Pleasant St",2,7,A32002,Commonwealth Ave at Agganis Way
door-babck-ebbabcock,Babcock Street - Babcock St,2,7,A32002,Commonwealth Ave at Agganis Way
door-babck-wbagganis,"Babcock Street - Harry Agganis Way, Pleasant St",2,7,A32002,Commonwealth Ave at Agganis Way
door-babck-wbbabcock,Babcock Street - Babcock St,2,7,A32002,Commonwealth Ave at Agganis Way
958,Commonwealth Ave @ Babcock St,0,7,A32002,Commonwealth Ave at Agganis Way
937,Commonwealth Ave @ Carlton St,0,8,A32003,B.U. Central - 725 Comm. Ave.
1810,Commonwealth Ave @ University Rd,0,8,A32003,B.U. Central - 725 Comm. Ave.
938,Commonwealth Ave @ St Mary's St,0,8,A32003,B.U. Central - 725 Comm. Ave.
70144,Boston University Central,0,8,A32003,B.U. Central - 725 Comm. Ave.
70145,Boston University Central,0,8,A32003,B.U. Central - 725 Comm. Ave.
953,Commonwealth Ave @ St Mary's St,0,8,A32003,B.U. Central - 725 Comm. Ave.
954,Commonwealth Ave @ University Rd,0,8,A32003,B.U. Central - 725 Comm. Ave.
1804,Brookline Ave @ Longwood Ave,0,9,A32004,Longwood Ave at Binney St
1779,Longwood Ave @ Brookline Ave,0,9,A32004,Longwood Ave at Binney St
1780,Longwood Ave @ Blackfan St,0,9,A32004,Longwood Ave at Binney St
1521,Brookline Ave @ Longwood Ave,0,9,A32004,Longwood Ave at Binney St
1559,Brookline Ave @ Deaconess Rd,0,9,A32004,Longwood Ave at Binney St
11803,Longwood Ave @ Binney St,0,9,A32004,Longwood Ave at Binney St
1046,Western Ave @ Litchfield St,0,10,A32005,Brighton Mills - 370 Western Ave
1074,367 Western Ave opp Brighton Mills Mall,0,10,A32005,Brighton Mills - 370 Western Ave
1075,Western Ave opp Litchfield St,0,10,A32005,Brighton Mills - 370 Western Ave
1053,Western Ave @ Genzyme,0,11,A32006,Soldiers Field Park - 111 Western Ave
1067,Western Ave opp Genzyme,0,11,A32006,Soldiers Field Park - 111 Western Ave
1808,Park Dr @ Beacon St,0,12,A32008,Park Dr at Buswell St
1809,Park Dr @ Mountfort St,0,12,A32008,Park Dr at Buswell St
9434,Park Dr @ Fenway Sta,0,12,A32008,Park Dr at Buswell St
1775,Park Dr @ Beacon St,0,12,A32008,Park Dr at Buswell St
70186,Fenway,0,12,A32008,Park Dr at Buswell St
door-fenwy-parkdr,Fenway - Park Dr (Stairs),2,12,A32008,Park Dr at Buswell St
1234,Tremont St @ Aguadilla St,0,13,A32009,South End Library - Tremont St at W Newton St
1248,Tremont St @ Pembroke St,0,13,A32009,South End Library - Tremont St at W Newton St
1250,Tremont St @ Concord Sq,0,13,A32009,South End Library - Tremont St at W Newton St
1232,Tremont St @ Worcester St,0,13,A32009,South End Library - Tremont St at W Newton St
6538,Essex St @ Atlantic Ave,0,14,A32010,South Station - 700 Atlantic Ave
6550,Lincoln St @ Essex St,0,14,A32010,South Station - 700 Atlantic Ave
6564,Summer St @ South Station - Red Line entrance,0,14,A32010,South Station - 700 Atlantic Ave
892,Summer St @ Atlantic Ave,0,14,A32010,South Station - 700 Atlantic Ave
70079,South Station,0,14,A32010,South Station - 700 Atlantic Ave
70080,South Station,0,14,A32010,South Station - 700 Atlantic Ave
74611,South Station,0,14,A32010,South Station - 700 Atlantic Ave
74617,South Station,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287,South Station,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287-01,South Station,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287-02,South Station,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287-04,South Station,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287-06,South Station,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287-08,South Station,0,14,A32010,South Station - 700 Atlantic Ave
9070079,South Station - Summer St @ Surface Rd,0,14,A32010,South Station - 700 Atlantic Ave
NEC-2287-10,South Station,0,14,A32010,South Station - 700 Atlantic Ave
door-sstat-atlantic,South Station - Atlantic Ave,2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-bus,South Station - South Station Bus Terminal,2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-dewey,"South Station - Dewey Sq (Summer St, Atlantic Ave)",2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-finctr,South Station - Financial Center,2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-main,"South Station - Main Entry, Dewey Square",2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-outmain,"South Station - Summer St, Atlantic Ave, Commuter Rail",2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-reserve,"South Station - Atlantic Ave, Summer St",2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-summer,South Station - Summer St,2,14,A32010,South Station - 700 Atlantic Ave
door-sstat-usps,South Station - USPS Post Office,2,14,A32010,South Station - 700 Atlantic Ave
1052,130 Western Ave,0,15,A32011,Innovation Lab - 125 Western Ave at Batten Way
1068,125 Western Ave,0,15,A32011,Innovation Lab - 125 Western Ave at Batten Way
931,Brighton Ave @ Commonwealth Ave,0,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
70134,Packard's Corner,0,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
70135,Packard's Corner,0,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
door-babck-wbbabcock,Babcock Street - Babcock St,2,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
958,Commonwealth Ave @ Babcock St,0,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
959,1079 Commonwealth Ave,0,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
960,Brighton Ave @ Malvern St,0,16,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave
224,Atlantic Ave @ State St-Marriott Hotel,0,17,A32013,Surface Rd at India St
236,Atlantic Ave @ Central St,0,17,A32013,Surface Rd at India St
30233,Atlantic Ave @ Milk St,0,17,A32013,Surface Rd at India St
9070043,Aquarium - Surface Rd @ State St,0,17,A32013,Surface Rd at India St
70043,Aquarium,0,17,A32013,Surface Rd at India St
door-aqucl-atlantic,Aquarium - Waterfront and New England Aquarium,2,17,A32013,Surface Rd at India St
door-aqucl-mcknorth,Aquarium - State St (North),2,17,A32013,Surface Rd at India St
door-aqucl-mcksouth,Aquarium - State St (South),2,17,A32013,Surface Rd at India St
2553,N Harvard St @ Western Ave,0,18,A32019,175 N Harvard St
1070,Western Ave @ N Harvard St,0,18,A32019,175 N Harvard St
1051,Western Ave @ Travis St,0,18,A32019,175 N Harvard St
2561,N Harvard St @ Western Ave,0,18,A32019,175 N Harvard St
2824,Main St @ Dunstable St,0,19,A32022,Edwards Playground - Main St at Eden St
2838,Main St @ Walker St,0,19,A32022,Edwards Playground - Main St at Eden St
2839,Main St @ Oak St,0,19,A32022,Edwards Playground - Main St at Eden St
2823,Main St @ Middlesex St,0,19,A32022,Edwards Playground - Main St at Eden St
70028,Community College,0,20,A32023,Bunker Hill Community College
door-ccmnl-main,"Community College - Community College, Rutherford Ave",2,20,A32023,Bunker Hill Community College
12891,Pearl St @ High St,0,21,A32026,Purchase St at Pearl St
221,Atlantic Ave @ Congress St,0,21,A32026,Purchase St at Pearl St
2116,Purchase St @ Pearl St,0,21,A32026,Purchase St at Pearl St
222,Atlantic Ave @ Seaport Blvd.,0,21,A32026,Purchase St at Pearl St
5874,Bennington St @ Moore St,0,22,A32028,Bennington St at Byron St
5875,Bennington St @ Byron St,0,22,A32028,Bennington St at Byron St
5842,Bennington St @ Byron St,0,22,A32028,Bennington St at Byron St
5843,Bennington St @ Moore St,0,22,A32028,Bennington St at Byron St
5740,Maverick,0,23,A32030,Maverick Square - Lewis Mall
57400,Maverick,0,23,A32030,Maverick Square - Lewis Mall
70045,Maverick,0,23,A32030,Maverick Square - Lewis Mall
door-mvbcl-lewis,Maverick - Lewis Mall,2,23,A32030,Maverick Square - Lewis Mall
door-mvbcl-square,"Maverick - Sumner St, Maverick Square",2,23,A32030,Maverick Square - Lewis Mall
15857,Sumner St @ Orleans St,0,23,A32030,Maverick Square - Lewis Mall
5740,Maverick,0,24,A32031,East Boston Neighborhood Health Center - 20 Maverick Square
57400,Maverick,0,24,A32031,East Boston Neighborhood Health Center - 20 Maverick Square
70045,Maverick,0,24,A32031,East Boston Neighborhood Health Center - 20 Maverick Square
door-mvbcl-lewis,Maverick - Lewis Mall,2,24,A32031,East Boston Neighborhood Health Center - 20 Maverick Square
door-mvbcl-square,"Maverick - Sumner St, Maverick Square",2,24,A32031,East Boston Neighborhood Health Center - 20 Maverick Square
5882,Boardman St @ Saratoga St,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
15880,Orient Heights,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
5879,Orient Heights,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
5880,Orient Heights,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
70051,Orient Heights,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
70052,Orient Heights,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
door-orhte-benning,Orient Heights - Bennington St,2,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
door-orhte-saratoga,"Orient Heights - Saratoga St, Barnes Ave",2,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
5881,Bennington St @ Antrim St,0,26,A32035,Orient Heights T Stop - Bennington St at Saratoga St
5841,Bennington St @ Westbrook St,0,27,A32039,Bennington St at Constitution Beach
5839,Bennington St @ Trident St,0,27,A32039,Bennington St at Constitution Beach
5877,Bennington St @ Westbrook St,0,27,A32039,Bennington St at Constitution Beach
5878,Bennington St @ Trident St,0,27,A32039,Bennington St at Constitution Beach
2555,N Harvard St @ Coolidge Rd,0,28,A32040,Honan Library
2556,N Harvard St @ Hooker St,0,28,A32040,Honan Library
2559,N Harvard St @ Oxford St,0,28,A32040,Honan Library
2560,N Harvard St @ Kingsley St,0,28,A32040,Honan Library
5743,Meridian St @ Saratoga St,0,29,A32041,Central Square East Boston
5854,Bennington St @ Porter St,0,29,A32041,Central Square East Boston
5867,Bennington St @ Porter St,0,29,A32041,Central Square East Boston
5902,Lexington St @ Meridian St,0,29,A32041,Central Square East Boston
5734,Meridian St @ Lexington St,0,29,A32041,Central Square East Boston
5736,Meridian St @ Liverpool St,0,29,A32041,Central Square East Boston
NEC-2287-01,South Station,0,30,A32042,Surface Rd at Summer St
NEC-2287-02,South Station,0,30,A32042,Surface Rd at Summer St
